Time,Air/Fuel Correction #1 (%),Engine Load (RAM) (g/rev),Engine Speed (rpm),Feedback Correction (degrees),IAM (multiplier),Ignition Timing (degrees),Intake Air Temperature (F),Intake VVT Advance Angle Left (degrees),Knock Correction (degrees),Manifold Rel. Pressure (Corrected) (psi),Mass Air Flow (g/s),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Vehicle Speed (mph)
6519,2.34,0.38,1827,0.00,1.00,50.00,99,13.00,0.00,-9.14,11.16,21.57,8.24,18
6789,3.12,0.28,1796,0.00,1.00,50.00,99,13.00,0.00,-10.30,11.22,21.57,7.84,18
7060,1.56,0.21,1857,0.00,1.00,50.50,99,9.00,0.00,-11.03,7.07,21.57,5.49,19
7330,0.00,0.19,1801,0.00,1.00,46.00,99,9.00,0.00,-11.32,5.78,21.57,4.71,19
7601,0.00,0.18,1862,0.00,1.00,43.50,100,9.00,0.00,-11.32,5.54,0.00,4.71,19
7871,0.00,0.19,1841,0.00,1.00,41.50,100,9.00,0.00,-11.32,5.54,0.00,4.71,19
8161,0.00,0.19,1838,0.00,1.00,19.50,100,9.00,0.00,-11.32,5.48,21.18,4.71,19
8432,0.00,0.18,1825,0.00,1.00,29.00,100,9.00,0.00,-11.46,5.68,21.57,4.71,18
8702,0.00,0.18,1799,0.00,1.00,42.00,100,9.00,0.00,-11.46,5.24,0.00,4.31,18
8983,0.00,0.18,1778,0.00,1.00,40.00,100,10.00,0.00,-11.46,5.20,0.00,4.31,18
9253,0.00,0.18,1755,0.00,1.00,38.50,100,9.00,0.00,-11.46,5.14,0.00,4.31,18
9523,0.00,0.18,1738,0.00,1.00,37.00,100,9.00,0.00,-11.46,5.07,0.00,4.31,17
9794,0.00,0.18,1703,0.00,1.00,35.00,100,9.00,0.00,-11.46,4.91,0.00,4.31,18
10064,0.00,0.25,1680,0.00,1.00,33.00,100,10.00,0.00,-10.16,4.88,0.00,4.31,18
10345,0.00,1.06,1686,0.00,1.00,15.50,100,17.00,0.00,-0.73,12.90,21.57,13.73,17
10615,0.00,1.24,1677,0.00,1.00,16.00,100,18.00,2.50,0.73,36.62,41.96,44.31,17
10885,0.00,1.32,1915,0.00,1.00,16.50,100,16.00,3.00,1.89,39.67,89.02,100.00,18
11166,0.00,1.43,2038,0.00,1.00,16.00,100,15.00,4.50,3.19,46.62,89.41,100.00,18
11446,0.00,1.57,2172,0.00,1.00,14.50,100,15.00,6.00,4.93,53.27,89.41,100.00,19
11717,0.00,1.77,2381,0.00,1.00,13.50,100,15.00,5.50,7.11,64.52,89.02,100.00,21
11987,0.00,1.99,2600,0.00,1.00,13.50,100,15.00,5.50,10.16,80.55,89.02,100.00,21
12257,0.00,2.32,2874,0.00,1.00,12.00,99,14.00,5.00,14.07,99.04,89.02,100.00,24
12528,0.00,2.56,3074,0.00,1.00,10.50,99,13.00,5.00,16.40,126.60,89.02,100.00,24
12798,0.00,2.62,3385,0.00,1.00,10.00,99,13.00,5.00,16.40,145.24,89.02,100.00,27
13078,0.00,2.66,3695,0.00,1.00,11.00,99,12.00,6.00,15.82,163.85,89.02,100.00,32
13349,0.00,2.57,4027,0.00,1.00,11.00,99,11.00,6.00,15.24,175.88,89.02,100.00,32
13619,0.00,2.50,4340,0.00,1.00,13.00,99,8.00,6.00,14.22,182.38,84.31,100.00,37
13890,0.00,2.44,4592,0.00,1.00,14.50,99,7.00,6.00,13.64,190.54,86.67,100.00,37
14170,0.00,2.37,4802,0.00,1.00,15.00,99,6.00,6.00,12.77,194.24,87.84,100.00,42
14450,0.00,2.29,5017,0.00,1.00,16.00,99,5.00,6.00,11.75,199.58,88.63,100.00,42
14721,0.00,2.20,5372,0.00,1.00,17.50,97,3.00,6.00,10.74,203.90,88.63,100.00,47
14991,0.00,2.13,5540,0.00,1.00,19.00,97,1.00,6.00,10.01,206.50,88.63,100.00,52
15272,0.00,1.83,5767,0.00,1.00,20.50,97,0.00,6.00,4.93,203.39,88.24,100.00,52
15532,0.00,0.17,6146,0.00,1.00,29.50,97,0.00,2.50,-11.17,142.77,76.86,20.00,56
15802,0.00,0.21,6066,0.00,1.00,24.00,97,0.00,0.00,-11.03,16.68,0.00,11.37,56
16083,0.00,0.28,5427,0.00,1.00,25.00,97,1.00,0.00,-10.30,19.35,0.00,11.76,58
16353,0.00,0.64,4053,0.00,1.00,48.50,97,5.00,0.00,-6.53,22.20,16.86,13.33,58
16624,0.00,0.63,4134,0.00,1.00,43.50,97,10.00,0.00,-6.67,45.05,20.00,20.39,60
16894,0.00,0.62,4164,0.00,1.00,44.00,97,8.00,0.00,-6.82,43.78,19.61,20.00,60
17174,4.69,0.62,4232,0.00,1.00,44.50,97,7.00,0.00,-6.67,42.84,19.22,19.61,60
17445,14.84,0.53,4247,0.00,1.00,44.00,97,6.00,0.00,-7.84,44.00,19.61,19.61,60
17705,16.41,0.38,4224,0.00,1.00,47.00,97,4.00,0.00,-9.43,34.87,17.65,16.08,60
